,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,R (A),R (a.u.),batch size,lr,dcy const,C_0,C_+1,C_-1,C_+2,C_exc1,C_exc2,C_exc3,O_0,O_+1,O_-1,O_-2,O_exc1,O_exc2,C Eff.,O Eff.,Tot. Ch,RMSE,epoch len.
10,5.60,10.582465536159999,1024,0.01,0.0001,0.8325472,0.015216461,0.0004820332,0.15031236,0.00042031516,0.00042326722,0.0003913816,0.528772,0.000562111,0.00049305445,0.15752378,0.24923609,0.06361367,0.3153591563750524,-0.31497850560117513,0.00038065077387727797,0.007654512506115093,806
11,5.40,10.20452033844,1024,0.01,0.0001,0.8328399,0.013376087,0.0070749843,0.14505748,0.00057846284,0.00061684527,0.0005931652,0.53477913,0.0005422412,0.0021004877,0.14723606,0.2505156,0.064645454,0.29641607170924544,-0.2960303746513091,0.00038569705793634057,0.007731064623362186,753
12,5.20,9.82657514072,1024,0.01,0.0001,0.83460504,0.0024536054,0.021711597,0.13930047,0.00065791025,0.0008088543,0.00069894356,0.5479319,0.00022500312,0.009316546,0.1263223,0.24805075,0.06856153,0.25934293936006725,-0.2617361412703758,-0.0023932019103085622,0.007802921530529184,712
13,5.00,9.448629943,1024,0.01,0.0001,0.83982015,0.0013454903,0.021339402,0.13495816,-0.0,5.2912234e-05,6.8963436e-06,0.5543861,0.00032638846,0.007609764,0.12126944,0.2467312,0.068940505,0.24992241454310715,-0.24982225993881002,0.0001001546042971313,0.007846517600648544,1005
14,4.70,8.88171214642,1024,0.01,0.0001,0.8444907,0.0023745908,0.01613925,0.13531163,0.00031771557,0.00048021434,0.00036471974,0.55511314,0.00035729448,0.00049957325,0.12831905,0.24904202,0.066283,0.25685860728845,-0.2567803884448949,7.821884355507791e-05,0.007966961490209692,847
15,4.50,8.5037669487,1024,0.01,0.0001,0.8496244,0.0009875913,0.01809591,0.1283219,0.00053535344,0.0013870492,0.00057865673,0.5624129,0.0004263351,0.005985755,0.11727011,0.2455732,0.068396084,0.23953548271674663,-0.24009964399738237,-0.0005641612806357443,0.00804632184183288,767
16,4.30,8.12582175098,1024,0.01,0.0001,0.861267,0.00047020966,0.013232256,0.124366656,0.0006026707,0.0010660469,0.00064440054,0.5644345,6.1936196e-05,0.009402781,0.11323056,0.24195534,0.069386765,0.2359712652687449,-0.23580197199771646,0.00016929327102843672,0.008104564086990743,1346
17,4.10,7.747876553259999,1024,0.01,0.0001,0.8633755,0.0045112367,0.00018367922,0.1303992,0.0001892563,0.0002231528,0.00017194336,0.55392915,0.0005005276,0.00034618948,0.13227524,0.2483773,0.06469067,0.2651259521371685,-0.26439613912953064,0.0007298130076378584,0.00815339359997226,1132
18,3.90,7.3699313555399995,1024,0.01,0.0001,0.8461552,0.00808689,0.0014334985,0.14315844,0.0012570797,0.0013005714,0.0012480123,0.53780186,0.0005295197,0.00047150656,0.14656797,0.25772855,0.05452835,0.2929702631663531,-0.2930779278976843,-0.0001076647313311696,0.008182591161855771,481
19,3.70,6.99198615782,1024,0.01,0.0001,0.81647164,0.0133412955,0.00055288774,0.16885264,0.00038347434,0.00036628408,0.00035055843,0.5074945,0.00040291253,0.00046533678,0.17567652,0.2810776,0.035278853,0.3504936921526678,-0.35141547353123315,-0.0009217813785653561,0.008310134800931575,1288
20,3.50,6.6140409601,1024,0.01,0.0001,0.79721993,0.016713798,0.00025902997,0.18483885,0.00046612578,0.00043681782,0.0003822647,0.48763368,0.00064836664,0.00016824025,0.1926014,0.2978765,0.020920234,0.38613246072782204,-0.38472266888129525,0.0014097918465267867,0.008349639798898583,976
21,3.30,6.23609576238,1024,0.01,0.0001,0.8000279,0.011219832,0.0004487359,0.18695498,0.00027624916,0.00024575656,0.00021400291,0.48522946,0.00039649312,0.0004718298,0.19255382,0.30711213,0.014753787,0.384681046474725,-0.3851829731138423,-0.0005019266391173005,0.008388753687040621,1209
22,3.10,5.85815056466,1024,0.01,0.0001,0.8061056,0.0025461325,0.0052553844,0.18327922,0.00030635635,0.00034371094,0.00031451328,0.4953574,0.00065013254,0.007893868,0.17786178,0.305498,0.012730813,0.36384918075054884,-0.3629672951065004,0.0008818856440484524,0.008370806326205796,735
23,2.95,5.574691666370001,1024,0.01,0.0001,0.7986114,0.006222498,0.0002905478,0.19365916,0.00036772966,0.00038112034,0.00036771767,0.48932675,0.0005611365,0.0005427318,0.19644652,0.31279677,0.0007616215,0.3932502634706907,-0.3928746414021589,0.00037562206853181124,0.008292477686514914,1156
24,2.85,5.38571906751,1024,0.01,0.0001,0.7800154,0.0084002195,0.0005748243,0.20982476,0.0006496587,0.00070843066,0.0006410723,0.4703664,0.0003478216,0.00043801434,0.21369745,0.31372425,0.00044816063,0.4274749067844823,-0.42748508948716335,-1.0182702681049705e-05,0.008148282832268594,880
